module	url	status	note
3.4_AAV和病毒载体衣壳设计	https://capsigen.com/images/BIOGEN_AND_CAPSIGEN_ANNOUNCE-COLLABORATION.docx.pdf	OK	01_技术模块检索\方向三_CGT核酸和递送\3.4_AAV和病毒载体衣壳设计\下载资料\3.4_Biogen_Capsigen_AAV_Capsids_Collaboration_2021_2026-06-23.md
4.4_虚拟细胞和疾病模型	https://www.biomap.com/news/outperforming-thousands-of-teams-worldwide-biomap-wins-arcs-virtual-cell-challenge-2025	OK	01_技术模块检索\方向四_数字生物模型\4.4_虚拟细胞和疾病模型\下载资料\4.4_ARC_Virtual_Cell_Challenge_2025_BioMap_Winner_2026-06-23.md
4.5_药物组合和干预结果模拟	https://investors.recursion.com/news-releases/news-release-details/recursion-and-exscientia-complete-business-combination	FAIL	r.jina.ai Recursion IR新域名官方新闻稿替代: bad_or_tiny 345 422 https://r.jina.ai/https://ir.recursion.com/news-releases/news-release-details/recursion-and-exscientia-two-leaders-ai-drug-discovery-space/
4.5_药物组合和干预结果模拟	https://www.kyantherapeutics.com/	OK	01_技术模块检索\方向四_数字生物模型\4.5_药物组合和干预结果模拟\下载资料\4.5_KYAN_Technologies_Official_Website_2026-06-23.md
4.5_药物组合和干预结果模拟	https://www.sanofi.com/en/media-room/press-releases/2022/2022-01-07-07-00-00-2356182	OK	01_技术模块检索\方向四_数字生物模型\4.5_药物组合和干预结果模拟\下载资料\4.5_Sanofi_Exscientia_AI_Driven_Pipeline_2022_2026-06-23.md
4.6_虚拟患者和数字孪生	https://www.businesswire.com/news/home/20220510005493/en/GNS-Healthcare-Rebrands-as-Aitia-to-Transform-Drug-Discovery-and-Development-with-Causal-AI-and-Digital-Twins	OK	01_技术模块检索\方向四_数字生物模型\4.6_虚拟患者和数字孪生\下载资料\4.6_GNS_Rebrands_as_Aitia_2023_2026-06-23.md
4.6_虚拟患者和数字孪生	https://www.fda.gov/regulatory-information/search-fda-guidance-documents/artificial-intelligence-support-regulatory-decision-making-drug-and-biological-products	OK	01_技术模块检索\方向四_数字生物模型\4.6_虚拟患者和数字孪生\下载资料\4.6_FDA_AI_Regulatory_Decision_Making_Drug_Biological_Products_2025_2026-06-23.md
4.6_虚拟患者和数字孪生	https://www.fda.gov/regulatory-information/search-fda-guidance-documents/artificial-intelligence-support-regulatory-decision-making-drug-and-biological-products	OK	01_技术模块检索\方向四_数字生物模型\4.6_虚拟患者和数字孪生\下载资料\4.6_FDA_AI_Regulatory_Decision_Making_Drug_Biological_Products_2025_Page_2026-06-23.md
4.5_药物组合和干预结果模拟	https://investors.recursion.com/news-releases/news-release-details/recursion-and-exscientia-complete-business-combination	OK	01_技术模块检索\方向四_数字生物模型\4.5_药物组合和干预结果模拟\下载资料\4.5_Recursion_Exscientia_Officially_Combined_GlobeNewswire_2024_2026-06-23.md
2.2_抗体亲和力_特异性_可开发性优化	https://www.fda.gov/media/147629/download	OK	01_技术模块检索\方向二_AI大分子生物药\2.2_抗体亲和力_特异性_可开发性优化\下载资料\2.2_FDA_Bamlanivimab_EUA_Revocation_Letter_media147629_2021_2026-06-23.md
